Coluna;Tipo;Descrição

survived;Numérico;1=sobreviveu,0=nãosobreviveu

class;Numérico;Classedobilhete(1ª,2ªou3ª)

sex;Categórico;Gênerodopassageiro(masculinooufeminino)

age;Numérico;Idadeemanos(podecontervaloresausentes)

sibsp;Numérico;Númerodeirmãosecônjugesabordo

parch;Numérico;Númerodepaisefilhosabordo

fare;Numérico;Preçopagopelobilhete

embarked;Categórico;Portodeembarque(C,QouS)

class;Categórico;Nomedaclasse(First,SecondouThird)

who;Categórico;Categoriadopassageiro(man,womanouchild)

adult_male;Booleano;Seéumhomemadulto(True/False)

deck;Categórico;Convésdacabine(muitosvaloresausentes)

embark_town;Categórico;Nomedacidadedoportodeembarque

alive;Categórico;Statusdesobrevivência(yes/no)

alone;Booleano;Seestavaviajandosozinho(True/False)
